year,anthrome,label,count
-10000,11,Urban,0
-10000,12,Mixed settlements,0
-10000,21,Rice villages,0
-10000,22,Irrigated villages,0
-10000,23,Rainfed villages,0
-10000,24,Pastoral villages,0
-10000,31,Residential irrigated croplands,0
-10000,32,Residential rainfed croplands,0
-10000,33,Populated croplands,0
-10000,34,Remote croplands,0
-10000,41,Residential rangelands,0
-10000,42,Populated rangelands,0
-10000,43,Remote rangelands,0
-10000,51,Residential woodlands,11
-10000,52,Populated woodlands,2597
-10000,53,Remote woodlands,655175
-10000,54,Inhabited drylands,761297
-10000,61,Wild woodlands,319120
-10000,62,Wild drylands,354065
-10000,63,Ice (uninhabited),133137
-10000,70,No land,0
-9000,11,Urban,0
-9000,12,Mixed settlements,0
-9000,21,Rice villages,0
-9000,22,Irrigated villages,0
-9000,23,Rainfed villages,0
-9000,24,Pastoral villages,0
-9000,31,Residential irrigated croplands,0
-9000,32,Residential rainfed croplands,0
-9000,33,Populated croplands,0
-9000,34,Remote croplands,0
-9000,41,Residential rangelands,0
-9000,42,Populated rangelands,0
-9000,43,Remote rangelands,0
-9000,51,Residential woodlands,15
-9000,52,Populated woodlands,3967
-9000,53,Remote woodlands,665663
-9000,54,Inhabited drylands,772510
-9000,61,Wild woodlands,307263
-9000,62,Wild drylands,343014
-9000,63,Ice (uninhabited),132970
-9000,70,No land,0
-8000,11,Urban,0
-8000,12,Mixed settlements,0
-8000,21,Rice villages,0
-8000,22,Irrigated villages,0
-8000,23,Rainfed villages,0
-8000,24,Pastoral villages,0
-8000,31,Residential irrigated croplands,0
-8000,32,Residential rainfed croplands,0
-8000,33,Populated croplands,0
-8000,34,Remote croplands,0
-8000,41,Residential rangelands,0
-8000,42,Populated rangelands,0
-8000,43,Remote rangelands,0
-8000,51,Residential woodlands,21
-8000,52,Populated woodlands,5756
-8000,53,Remote woodlands,670013
-8000,54,Inhabited drylands,778480
-8000,61,Wild woodlands,301120
-8000,62,Wild drylands,337358
-8000,63,Ice (uninhabited),132654
-8000,70,No land,0
-7000,11,Urban,0
-7000,12,Mixed settlements,2
-7000,21,Rice villages,0
-7000,22,Irrigated villages,0
-7000,23,Rainfed villages,0
-7000,24,Pastoral villages,0
-7000,31,Residential irrigated croplands,0
-7000,32,Residential rainfed croplands,0
-7000,33,Populated croplands,0
-7000,34,Remote croplands,0
-7000,41,Residential rangelands,0
-7000,42,Populated rangelands,0
-7000,43,Remote rangelands,0
-7000,51,Residential woodlands,36
-7000,52,Populated woodlands,8522
-7000,53,Remote woodlands,680568
-7000,54,Inhabited drylands,785194
-7000,61,Wild woodlands,287774
-7000,62,Wild drylands,330971
-7000,63,Ice (uninhabited),132335
-7000,70,No land,0
-6000,11,Urban,0
-6000,12,Mixed settlements,2
-6000,21,Rice villages,0
-6000,22,Irrigated villages,0
-6000,23,Rainfed villages,0
-6000,24,Pastoral villages,0
-6000,31,Residential irrigated croplands,0
-6000,32,Residential rainfed croplands,10
-6000,33,Populated croplands,4
-6000,34,Remote croplands,1
-6000,41,Residential rangelands,0
-6000,42,Populated rangelands,0
-6000,43,Remote rangelands,0
-6000,51,Residential woodlands,112
-6000,52,Populated woodlands,16930
-6000,53,Remote woodlands,690808
-6000,54,Inhabited drylands,791757
-6000,61,Wild woodlands,269027
-6000,62,Wild drylands,324859
-6000,63,Ice (uninhabited),131892
-6000,70,No land,0
-5000,11,Urban,0
-5000,12,Mixed settlements,0
-5000,21,Rice villages,0
-5000,22,Irrigated villages,0
-5000,23,Rainfed villages,2
-5000,24,Pastoral villages,0
-5000,31,Residential irrigated croplands,0
-5000,32,Residential rainfed croplands,36
-5000,33,Populated croplands,91
-5000,34,Remote croplands,21
-5000,41,Residential rangelands,0
-5000,42,Populated rangelands,0
-5000,43,Remote rangelands,1
-5000,51,Residential woodlands,167
-5000,52,Populated woodlands,33814
-5000,53,Remote woodlands,675256
-5000,54,Inhabited drylands,795581
-5000,61,Wild woodlands,267534
-5000,62,Wild drylands,321062
-5000,63,Ice (uninhabited),131837
-5000,70,No land,0
-4000,11,Urban,0
-4000,12,Mixed settlements,1
-4000,21,Rice villages,0
-4000,22,Irrigated villages,0
-4000,23,Rainfed villages,3
-4000,24,Pastoral villages,0
-4000,31,Residential irrigated croplands,55
-4000,32,Residential rainfed croplands,174
-4000,33,Populated croplands,1910
-4000,34,Remote croplands,277
-4000,41,Residential rangelands,0
-4000,42,Populated rangelands,0
-4000,43,Remote rangelands,5
-4000,51,Residential woodlands,319
-4000,52,Populated woodlands,60252
-4000,53,Remote woodlands,654531
-4000,54,Inhabited drylands,797968
-4000,61,Wild woodlands,261457
-4000,62,Wild drylands,316674
-4000,63,Ice (uninhabited),131776
-4000,70,No land,0
-3000,11,Urban,0
-3000,12,Mixed settlements,5
-3000,21,Rice villages,0
-3000,22,Irrigated villages,0
-3000,23,Rainfed villages,9
-3000,24,Pastoral villages,0
-3000,31,Residential irrigated croplands,182
-3000,32,Residential rainfed croplands,604
-3000,33,Populated croplands,2947
-3000,34,Remote croplands,351
-3000,41,Residential rangelands,0
-3000,42,Populated rangelands,0
-3000,43,Remote rangelands,39
-3000,51,Residential woodlands,2490
-3000,52,Populated woodlands,80599
-3000,53,Remote woodlands,639167
-3000,54,Inhabited drylands,802233
-3000,61,Wild woodlands,253833
-3000,62,Wild drylands,311220
-3000,63,Ice (uninhabited),131723
-3000,70,No land,0
-2000,11,Urban,0
-2000,12,Mixed settlements,28
-2000,21,Rice villages,0
-2000,22,Irrigated villages,1
-2000,23,Rainfed villages,20
-2000,24,Pastoral villages,0
-2000,31,Residential irrigated croplands,224
-2000,32,Residential rainfed croplands,1521
-2000,33,Populated croplands,4003
-2000,34,Remote croplands,505
-2000,41,Residential rangelands,1
-2000,42,Populated rangelands,4
-2000,43,Remote rangelands,68
-2000,51,Residential woodlands,8733
-2000,52,Populated woodlands,106020
-2000,53,Remote woodlands,620344
-2000,54,Inhabited drylands,806787
-2000,61,Wild woodlands,239429
-2000,62,Wild drylands,306356
-2000,63,Ice (uninhabited),131358
-2000,70,No land,0
-1000,11,Urban,0
-1000,12,Mixed settlements,86
-1000,21,Rice villages,2
-1000,22,Irrigated villages,27
-1000,23,Rainfed villages,33
-1000,24,Pastoral villages,0
-1000,31,Residential irrigated croplands,223
-1000,32,Residential rainfed croplands,3733
-1000,33,Populated croplands,8472
-1000,34,Remote croplands,1123
-1000,41,Residential rangelands,5
-1000,42,Populated rangelands,1342
-1000,43,Remote rangelands,10861
-1000,51,Residential woodlands,18413
-1000,52,Populated woodlands,115741
-1000,53,Remote woodlands,597184
-1000,54,Inhabited drylands,793887
-1000,61,Wild woodlands,238661
-1000,62,Wild drylands,304281
-1000,63,Ice (uninhabited),131328
-1000,70,No land,0
0,11,Urban,1
0,12,Mixed settlements,476
0,21,Rice villages,13
0,22,Irrigated villages,103
0,23,Rainfed villages,346
0,24,Pastoral villages,1
0,31,Residential irrigated croplands,293
0,32,Residential rainfed croplands,20149
0,33,Populated croplands,6794
0,34,Remote croplands,2023
0,41,Residential rangelands,332
0,42,Populated rangelands,8613
0,43,Remote rangelands,13165
0,51,Residential woodlands,48272
0,52,Populated woodlands,117977
0,53,Remote woodlands,555551
0,54,Inhabited drylands,781579
0,61,Wild woodlands,236130
0,62,Wild drylands,302376
0,63,Ice (uninhabited),131208
0,70,No land,0
100,11,Urban,1
100,12,Mixed settlements,582
100,21,Rice villages,13
100,22,Irrigated villages,105
100,23,Rainfed villages,374
100,24,Pastoral villages,1
100,31,Residential irrigated croplands,282
100,32,Residential rainfed croplands,20033
100,33,Populated croplands,7621
100,34,Remote croplands,2452
100,41,Residential rangelands,404
100,42,Populated rangelands,9350
100,43,Remote rangelands,13854
100,51,Residential woodlands,48928
100,52,Populated woodlands,124298
100,53,Remote woodlands,548650
100,54,Inhabited drylands,780034
100,61,Wild woodlands,235720
100,62,Wild drylands,301489
100,63,Ice (uninhabited),131211
100,70,No land,0
200,11,Urban,1
200,12,Mixed settlements,721
200,21,Rice villages,16
200,22,Irrigated villages,121
200,23,Rainfed villages,407
200,24,Pastoral villages,1
200,31,Residential irrigated croplands,295
200,32,Residential rainfed croplands,19338
200,33,Populated croplands,7412
200,34,Remote croplands,2503
200,41,Residential rangelands,445
200,42,Populated rangelands,9908
200,43,Remote rangelands,14130
200,51,Residential woodlands,48993
200,52,Populated woodlands,132089
